"Data Type","Byte Count","Name","Location","Type","Namespace","Source"
"AndroidElfRelocationTable","1271","__DT_ANDROID_RELA","0000ae68","Data Label","Global","Imported"
"undefined1[28]","28","format_to_bitwidth_table","00055404","Data Label","Global","Imported"
"string","1300","use_case_table","00055420","Data Label","Global","User Defined"
"string","8","AUDIO_PARAMETER_KEY_FLUENCE_TYPE","0005b14b","Data Label","Global","User Defined"
"undefined4","4","sthal_prop_api_version","0006cbd4","Data Label","Global","Imported"
"qword","8","__DT_FINI_ARRAY","0008d828","Data Label","Global","Imported"
"pointer","8","FX_IID_AEC","0008d830","Data Label","Global","Imported"
"undefined8","8","FX_IID_NS","0008d838","Data Label","Global","Imported"
"undefined1[504]","504","use_case_table","0008d840","Data Label","Global","Imported"
"char *[180]","1440","device_table","0008df88","Data Label","Global","User Defined"
"undefined1[320]","320","s_flag_name_to_enum_table","0008e5c8","Data Label","Global","Imported"
"undefined1[704]","704","s_format_name_to_enum_table","0008e708","Data Label","Global","Imported"
"undefined1[40]","40","default_pcm_config_voip_copp","00090008","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_deep_buffer","00090030","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_low_latency","00090058","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_rt","00090080","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_hdmi_multi","000900a8","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_mmap_playback","000900d0","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_hifi","000900f8","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_audio_capture","00090120","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_audio_capture_rt","00090148","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_mmap_capture","00090170","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_afe_proxy_playback","00090198","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_afe_proxy_record","000901c0","Data Label","Global","Imported"
"undefined1[248]","248","HMI","000901f8","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_voice_call","000902f4","Data Label","Global","Imported"
"char[4][20]","80","cal_name_info","0009031c","Data Label","Global","Imported"
"char[6][30]","180","dsp_only_decoders_mime","0009036c","Data Label","Global","Imported"
"int[180]","720","acdb_device_table","00090420","Data Label","Global","User Defined"
"int[63][2]","504","pcm_device_table","000906f0","Data Label","Global","User Defined"
"name_to_index[179]","18616","snd_device_name_index","000908e8","Data Label","Global","User Defined"
"name_to_index[46]","4784","usecase_name_index","00095208","Data Label","Global","User Defined"
"undefined","1","audio_device_to_interface_table","00097df8","Data Label","Global","Imported"
"undefined4","4","audio_device_to_interface_table_len","00097f90","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_incall_music","00097fec","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_voip_nb","00098014","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_voip_wb","0009803c","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_voip_swb","00098064","Data Label","Global","Imported"
"undefined1[40]","40","pcm_config_voip_fb","0009808c","Data Label","Global","Imported"
"undefined1[512]","0","opt_lib_path","00099049","Data Label","Global","Imported"
"undefined1[160]","0","a2dp","00099838","Data Label","Global","Imported"
"undefined","0","atrace_enabled_tags","0009a0b0","Data Label","Global","Imported"
"undefined1","0","atrace_is_ready","0009a0c0","Data Label","Global","Imported"
"undefined4","0","hal_log_mask","0009a238","Data Label","Global","Imported"